Funds,"Factsheet / Offering Material 
(via Fundinfo)","Fund Specific Materials 
(via Intranet) ",Fund Watch List,Base Ccy,Last Bloomberg Update,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),"3 Yr Ann Std Dev 
(%)",Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating ,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,"Fund House Max Sales Charge
BOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee",Investment Objective,Investment Tenor,Investment Time Horizon,"Dealing Frequency (Subscription)

Refer to Funds Identifier tab for Notice Period","Dealing Frequency (Redemption)

Refer to Funds Identifier tab for Notice Period",Loss Absorption Product,Complex Product,Remarks,
Fixed Income - Global Investment Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
JPM Managed Reserves Fund USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0513027705,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JPM%20Managed%20Reserves%20Fund,No,USD,10/10/19,0.24,0.64,2.28,2.68,1.72,1.2,0.28,6/10/10,LU0513027705,JPMRAAU LX EQUITY,USD Acc  ,No,No,2,75%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Income Generation,N/A,> 5 years,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
PIMCO GIS Global Invt Grade Credit E USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B3K7XK29,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/PIMCO/Global%20Investment%20Grade%20Credit,No,USD,10/10/19,0.42,2.38,10.51,10.9,4.18,4.1,3.09,12/10/08,IE00B3K7XK29,PGIGCEA ID EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Mth) , EUR Dis  (Qter) (H) , EUR Acc  (H) , GBP Dis  (Qter) (H) , SGD Dis  (Qter) (H) , CHF Acc  (H)",No,No,2,80%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Wellington Global Bond D Hedged USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B6WXRZ21,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Wellington/Global%20Bond%20Portfolio,No,USD,10/10/19,0.31,2.39,8.05,11.07,3.48,3.37,2.8,1/27/2012,IE00B6WXRZ21,WELBHUA ID EQUITY,"USD Acc  (H) , USD Acc , USD Dis  (Qter) (H)",No,No,2,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No max,Income Generation,N/A,> 5 years,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
Fixed Income - Global Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fullerton USD Income B USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999015176,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fullerton/Fullerton%20USD%20Income,No,USD,10/9/19,0.61,1.68,9.75,10.37,4,N/A,2.66,4/15/2016,SG9999015176,FULUSIB SP EQUITY,"USD Dis  (Qter) , USD Dis  (Qter) , SGD Dis  (Qter) (H) , SGD Dis  (Qter) (H) , AUD Dis  (Qter) (H) , AUD Dis  (Qter) (H) , EUR Dis  (Qter) (H) , EUR Dis  (Qter) (H) , GBP Dis  (Qter) (H) , GBP Dis  (Qter) (H)",No,No,2,75%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
"H2O Adagio Fund
(Super retail share class)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=FR0013393188,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/H2O/H2O%20Adagio%20Fund,Yes,EUR,10/9/19,0.33,3.04,N/A,N/A,N/A,N/A,N/A,1/14/2019,FR0013393188,H2ADESR FP Equity,"EUR Acc , USD Acc  (H) , CHF Acc  (H) , SGD Acc  (H) , GBP Acc  (H)",Yes,No,5,70%,Yes,Restricted,SFC Unauthorized,TBC,Yes,Yes,2.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
Jupiter Dynamic Bond EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0853555380,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Jupiter/Jupiter%20Dynamic%20Bond,No,EUR,10/10/19,0.91,2.09,7.96,8.64,1.78,2.45,2.72,5/10/13,LU0853555380,JUPLEUR LX Equity,"EUR Acc , EUR Dis  (Qter) , USD Acc  (H) , USD Dis  (Qter) (H) , USD Dis  (Mth) (H) , GBP Acc  (H) , GBP Dis  (Qter) (H) , SGD Acc  (H) , SGD Dis  (Mth) (H) , AUD Acc  (H) , AUD Dis  (Mth) (H) , SEK Acc  (H) , CNH Dis  (Mth) (H) , CNH Acc  (H) , CHF Acc  (H) , CHF Dis  (Qter) (H)",No,No,3,65%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Legg Mason WA Macro Opportunities Bd A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BC9S3Z47,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Legg%20Mason/Legg%20Mason%20Western%20Asset%20Macro%20Opportunities%20Bond%20Fund,No,USD,10/10/19,2.65,1.09,11.48,14.97,5.67,4.93,6.76,11/29/2013,IE00BC9S3Z47,WAMOAAU ID EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis (Semi-Ann) , EUR Acc  (H) , EUR Dis (Semi-Ann)(H) , EUR Dis (Ann) , GBP Acc , GBP Acc  (H) , GBP Dis  (Mth) (H) , AUD Dis  (Mth) (H) , CHF Acc  (H) , CNH Acc  (H) , CNH Dis  (Mth) (H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",Yes,No,5,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
M&G Optimal Income GBP Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=GB00B1H05155,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/M%20and%20G/Optimal%20Income,No,GBp,10/10/19,-0.48,-0.55,5.28,2.81,2.78,2.63,3.31,12/8/06,GB00B1H05155,MGOIANA LN EQUITY,"GBP Acc , GBP Dis (Semi-Ann) , USD Acc  (H) , USD Dis (Semi-Ann)(H) , USD Dis  (Mth) (H) , EUR Acc  (H) , EUR Dis (Semi-Ann)(H) , CHF Acc  (H) , CHF Dis (Semi-Ann)(H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",No,No,3,80%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
PIMCO GIS Diversified Income Dur Hdg E USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BCV7N601,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/PIMCO/Diversified%20Income%20Duration%20Hedged%20Fund,No,USD,10/10/19,0.17,-0.25,6.3,3.87,4.3,2.85,3.53,8/16/2013,IE00BCV7N601,PIMDIDE ID Equity,"USD Dis  (Qter) , USD Dis  (Qter) , USD Acc , EUR Acc  (H) , EUR Dis  (Qter) (H)",Yes,No,5,75%,Yes,"Retail
(Recognized)",SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
PIMCO GIS Income E USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B7KFL990,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/PIMCO/Income%20Fund,No,USD,10/10/19,0.35,-0.14,6.04,6.67,4.17,4.01,2.04,11/30/2012,IE00B7KFL990,PIMINEA ID EQUITY,"USD Acc , USD Dis  (Mth) , EUR Acc  (H) , EUR Dis  (Mth) (H) , GBP Dis  (Mth) (H) , AUD Dis  (Mth) (H) , CHF Acc  (H) , CHF Dis  (Mth) (H) , HKD Dis  (Mth) , CNH Dis  (Mth) (H) , SGD Dis  (Mth) (H)",No,No,3,80%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
"Vontobel TwentyFour Strategic Income Fund GBP
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1695534591,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Vontobel/TwentyFour%20Strategic%20Income%20Fund,No,GBP,10/9/19,0.59,1.52,7.13,5.28,N/A,N/A,N/A,10/10/17,LU1695534591,VO24SAQ LX EQUITY,"EUR Acc  (H), EUR Dis Qter (H), EUR Dis Ann (H), GBP Dis Qter , HKD Acc  (H), HKD Dis Qter (H), SGD Acc  (H), SGD Dis Qter (H), USD Acc  (H), USD Dis Qter (H), USD Dis Ann (H)",No,Yes,5,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Fidelity Enhanced Reserve Fund A-ACC-USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BF5GRB76,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20Enhanced%20Reserve%20Fund,No,USD,10/10/19,0.36,0.9,4.08,4.46,N/A,N/A,N/A,3/26/2018,IE00BF5GRB76,FIERAAU ID Equity,"USD Dis  (Mth) , USD Acc , EUR Dis  (Mth) (H) , GBP Dis  (Mth) (H), SGD Dis  (Mth) (H),  SGD Acc (H), AUD Dis  (Mth) (H)",No,No,2,80%,Yes,"Retail
(Recognized)",SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Fixed Income - Global High Yield ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Templeton Global High Yield A (acc) USD
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0300740767,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Templeton%20Global%20High%20Yield%20Fund,No,USD,10/10/19,-0.32,-3.6,4.64,2.84,1.91,1.13,5.63,9/27/2007,LU0300740767,TGHYACU LX EQUITY,"USD Acc , USD Dis  (Mth) , EUR Acc , EUR Dis  (Mth) , USD Acc , USD Dis  (Qter) , USD Dis  (Qter) , USD Dis  (Mth) , EUR Acc  (H) , GBP Dis  (Qter) (H) , SGD Dis  (Qter) (H)",No,Yes,5,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
"PIMCO GIS Global High Yield Bond E USD Acc
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B1D7YM41,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/PIMCO/Global%20High%20Yield%20Bond%20Fund,No,USD,10/10/19,-0.39,0.88,11.11,7.57,4.92,4.66,4.14,9/11/06,IE00B1D7YM41,PIMGHYB ID EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Qter) , USD Dis  (Mth) , EUR Acc  (H) , GBP Dis  (Qter) (H) , SGD Dis  (Qter) (H)",No,Yes,5,70%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Fixed Income - US Investment Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF US Dollar Short Duration Bond A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0154237225,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20US%20Dollar%20Short%20Duration%20Bond%20Fund,No,USD,10/10/19,0.44,0.95,4,4.4,1.96,1.47,0.89,10/31/2002,LU0154237225,MLLDBDA LX EQUITY,"USD Acc , USD Dis  (Mth) , EUR Dis  (Mth) , EUR Acc  (H) , SGD Dis  (Mth) (H)",Yes,No,4,70%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
Fixed Income - US High Yield Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"AXA WF US Short Duration High Yield A USD
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1319654866,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/AXA/AXA%20WF%20US%20Short%20Duration%20High%20Yield,No,USD,10/10/19,0.18,0.91,6.26,5.23,3.32,N/A,1.9,6/10/16,LU1319654866,AXUSACU LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H)",No,Yes,5,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
"Franklin High Yield A (acc) USD
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0131126228,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Franklin%20High%20Yield%20Fund,Yes,USD,10/10/19,-0.26,0.95,10.6,6.05,4.23,2.39,4.55,7/2/01,LU0131126228,TEMFHAC LX EQUITY,"USD Acc , USD Dis  (Mth) , SGD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , AUD Dis  (Mth) (H) ",No,Yes,5,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
